Field=#~Integer~#~50|Field=Bauform~String~Bauform~150|Field=Bestell-Nr.~String~Bestell-Nr.~150|Field=Bezeichnung~String~Bezeichnung~150|Field=Comment~String~Comment~150|Field=Description~String~Description~150|Field=Designator~String~Designator~150|Field=Footprint~String~Footprint~150|Field=Hersteller~String~Hersteller~150|Field=LibRef~String~LibRef~150|Field=Lieferant~String~Lieferant~150|Field=Preis~String~Preis~150|Field=Project~String~Project~150|Field=Quantity~Integer~Quantity~150|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~LED_Box.PrjPcb|ReportField=ProjectFullPath~D:\OneDrive\09_WS_2017\10_Studienassistent\01_PCB\LED_Box\LED_Box.PrjPcb|ReportField=Title~Bill of Materials For Project [LED_Box.PrjPcb] (No PCB Document Selected)|ReportField=ReportTime~12:00:39|ReportField=ReportDate~26.11.2018|ReportField=ReportDateTime~26.11.2018 12:00:39|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~189|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~2314a0d1d0ea026d7d87aed61c548ef7cc423a92|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~Gerald Ebmer|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~26.11.2018|ReportField=CurrentTime~11:56:51|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\OneDrive\09_WS_2017\10_Studienassistent\01_PCB\LED_Box\main.SchDoc|ReportField=DocumentName~main.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~Gerald Ebmer|ReportField=Engineer~Gerald Ebmer|ReportField=ImagePath~|ReportField=ModifiedDate~20.11.2018|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=1.00:XCorrection=1.00:YCorrection=1.00:PrintKind=0:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=7:PrintQuality=-3:MediaType=1:DitherType=10:PrintScaleMode=1:PaperKind=A4:PaperIndex=9|ReportField=ProjectName~LED_Box.PrjPcb|ReportField=Revision~1.0|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~6|ReportField=Time~|ReportField=Title~Gesamtansicht|ReportField=DataSourceFileName~LED_Box.PrjPcb|ReportField=DataSourceFullPath~D:\OneDrive\09_WS_2017\10_Studienassistent\01_PCB\LED_Box\LED_Box.PrjPcb|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1||||LTC4015|Multichemistry Buck Battery Charger Controller with Digital Telemetry System|A1B|QFN38||LTC4015|||D:\OneDrive\09_WS_2017\10_Studienassistent\01_PCB\LED_Box\LED_Box.PrjPcb|1
2||||LT3477|3A, DC/DC Converter with Dual Rail-to-Rail Current Sense|A1L1, A1L2|TSSOP20 exposed pad||LT3477|||D:\OneDrive\09_WS_2017\10_Studienassistent\01_PCB\LED_Box\LED_Box.PrjPcb|2
3||RFM98W-433S2|RFM98W-433S2|RFM98W-433|LoRa Module433 MHz|A1R|RFM98W|  HOPE MICROELECTRONICS|RFM98W|TME||D:\OneDrive\09_WS_2017\10_Studienassistent\01_PCB\LED_Box\LED_Box.PrjPcb|1
4|QFN-28|526-8841|CP2102-GM|CP2102|USB-UART Bridge|A1U|QFN28|Silicon Labs|CP2102|RS Components||D:\OneDrive\09_WS_2017\10_Studienassistent\01_PCB\LED_Box\LED_Box.PrjPcb|1
5|SMD|793-1967|SP0503BAHTG|SP0503|ESD Suppressors|A2U|SOT143-4|Littelfuse|SP0503|RS Components||D:\OneDrive\09_WS_2017\10_Studienassistent\01_PCB\LED_Box\LED_Box.PrjPcb|1
6|0805|2467861|ABS06-32.768KHZ-9-1-T|32,768kHz||B1M|0805|ABRACON|Quarz|Farnell|1,58|D:\OneDrive\09_WS_2017\10_Studienassistent\01_PCB\LED_Box\LED_Box.PrjPcb|1
7||||Battery|Multicell Battery|BT1B|||Battery|||D:\OneDrive\09_WS_2017\10_Studienassistent\01_PCB\LED_Box\LED_Box.PrjPcb|1
8|0805|464-6688|08055C104KAT2A|100n||C1B, C2M, C2R, C2U, C3M, C4U, C5M, C6B, C9M, C10M, C11B, C11M, C12B, C12M, C18B|0805|AVX|Kondensator|RS Components||D:\OneDrive\09_WS_2017\10_Studienassistent\01_PCB\LED_Box\LED_Box.PrjPcb|15
9||691-1265|C1210C475K5RACTU|4.7u||C1L1, C1L2, C2L1, C2L2, C3L1, C3L2|1210|KEMET|Kondensator|RS Components||D:\OneDrive\09_WS_2017\10_Studienassistent\01_PCB\LED_Box\LED_Box.PrjPcb|6
10|0805|1637035|C0805C105K3RACTU|1u||C1M, C1R, C4M|0805|KEMET|Kondensator|Farnell||D:\OneDrive\09_WS_2017\10_Studienassistent\01_PCB\LED_Box\LED_Box.PrjPcb|3
11|0805, [NoValue]|1358512|C1210C106K3RACTU|10u||C1U, C21B, C25B|0805|Kemet|Kondensator|Farnell||D:\OneDrive\09_WS_2017\10_Studienassistent\01_PCB\LED_Box\LED_Box.PrjPcb|3
12||1759235|MC0805B222K500CT|2.2n||C3B, C22B|0805|MULTICOMP|Kondensator|Farnell||D:\OneDrive\09_WS_2017\10_Studienassistent\01_PCB\LED_Box\LED_Box.PrjPcb|2
13||1358512|C1210C106K3RACTU|10u||C4B|1812|Kemet|Kondensator|Farnell||D:\OneDrive\09_WS_2017\10_Studienassistent\01_PCB\LED_Box\LED_Box.PrjPcb|1
14||915-9249|C2012C0G1E333J125AA|4.7n||C4L1, C4L2|0805|TDK|Kondensator|RS Components||D:\OneDrive\09_WS_2017\10_Studienassistent\01_PCB\LED_Box\LED_Box.PrjPcb|2
15||1833878|08053C334KAT2A|330n||C5B, C14B|0805|AVX|Kondensator|Farnell||D:\OneDrive\09_WS_2017\10_Studienassistent\01_PCB\LED_Box\LED_Box.PrjPcb|2
